divergence_id,divergence_order,point_number,price,price_timestamp,rsi_value,rsi_timestamp,downtrend,fibo_level,fibo_price,tag
36,4,4,3099.0,2025-04-03 19:07:00+02:00,31.818181818181642,2025-04-04 10:14:00+02:00,True,N/A,N/A,DIV4P4_ENTRY
40,2,1,3365.4,2025-04-22 18:41:00+02:00,13.146936347412222,2025-04-22 21:32:00+02:00,True,0.382,3280.89,DIV2P1
40,2,2,3365.4,2025-04-22 18:41:00+02:00,15.399422521655424,2025-04-23 00:01:00+02:00,True,0.382,3280.89,DIV2P2_ENTRY
42,3,1,3365.4,2025-04-22 18:41:00+02:00,13.146936347412222,2025-04-22 21:32:00+02:00,True,0.382,3280.89,DIV3P1
42,3,2,3365.4,2025-04-22 18:41:00+02:00,15.399422521655424,2025-04-23 00:01:00+02:00,True,0.382,3280.89,DIV3P2
42,3,3,3315.3,2025-04-23 00:31:00+02:00,28.955007256894078,2025-04-23 08:13:00+02:00,True,0.382,3280.89,DIV3P3_ENTRY
45,4,1,3365.4,2025-04-22 18:41:00+02:00,13.146936347412222,2025-04-22 21:32:00+02:00,True,0.382,3280.89,DIV4P1
45,4,2,3365.4,2025-04-22 18:41:00+02:00,15.399422521655424,2025-04-23 00:01:00+02:00,True,0.382,3280.89,DIV4P2
45,4,3,3315.3,2025-04-23 00:31:00+02:00,28.955007256894078,2025-04-23 08:13:00+02:00,True,0.382,3280.89,DIV4P3
45,4,4,3313.1,2025-04-23 11:59:00+02:00,30.601302183071738,2025-04-23 15:33:00+02:00,True,0.382,3280.89,DIV4P4_ENTRY
